distance_to_next,nominal_speed,historical_section_time,current_delay,current_speed,historical_delay,dwell_time,remaining_stops,time_of_day_hour,day_of_week,congestion_level,event_severity,speed_restriction,weather_severity,rainfall,visibility,preceding_train_delay,additional_delay
173.2,93.2,111.5,14.1,92.0,-7.9,3.7,1,17,1,0.82,1,75,1,0.0,0.7,1.0,39.7
83.0,101.7,49.0,1.2,97.9,4.0,10.5,9,21,6,0.62,0,0,0,0.0,10.0,1.1,1.0
69.9,70.8,59.2,19.1,69.9,3.3,3.0,8,1,0,0.13,0,50,0,0.0,10.0,0.0,11.4
141.3,72.2,117.4,99.8,27.8,4.6,2.0,12,4,3,0.64,2,0,0,0.0,10.0,11.6,30.0
178.3,82.7,129.3,26.4,61.9,-2.7,3.0,12,22,4,0.46,0,0,0,0.0,10.0,16.4,6.9
113.1,101.4,66.9,15.4,98.8,13.8,8.7,1,2,3,0.54,0,0,0,0.0,10.0,27.3,17.1
235.8,111.6,126.8,1.9,122.7,1.6,2.0,1,2,6,0.16,0,50,0,0.0,10.0,0.0,37.5
170.7,95.4,107.3,21.7,95.1,2.4,5.2,9,20,4,0.7,0,0,3,62.3,2.9,0.9,23.0
125.8,112.0,67.4,19.5,95.6,-1.9,2.0,11,20,5,0.72,0,0,0,0.0,10.0,1.9,6.8
106.3,86.2,74.0,0.9,71.3,-2.1,4.3,3,9,1,0.52,1,0,0,0.0,10.0,0.1,11.4
95.5,82.4,69.5,28.3,79.2,-3.8,4.7,6,11,2,0.33,3,0,0,0.0,10.0,0.0,31.0
180.4,84.5,128.1,13.2,79.4,1.1,4.0,9,4,2,0.61,0,0,0,0.0,10.0,2.1,7.0
116.5,74.4,93.9,10.0,75.8,-2.2,3.2,10,11,2,0.53,3,75,1,0.0,0.4,15.4,46.0
33.1,110.6,18.0,27.9,99.5,15.8,7.0,9,22,6,0.31,0,75,0,0.0,10.0,0.0,11.5
107.6,83.6,77.2,9.5,80.7,-7.8,5.3,5,21,5,0.69,0,30,0,0.0,10.0,1.4,37.3
182.4,95.4,114.7,11.8,104.9,-3.3,4.1,11,22,1,0.49,0,30,0,0.0,10.0,3.5,38.3
60.1,96.8,37.3,3.6,95.4,1.1,11.1,4,22,5,0.49,0,0,1,0.0,0.5,16.9,16.0
58.6,93.7,37.5,7.0,89.6,7.5,7.1,12,14,3,0.41,0,0,0,0.0,10.0,11.2,7.8
136.9,65.1,126.1,33.6,55.6,1.0,2.0,7,21,0,0.56,0,75,0,0.0,10.0,2.3,3.5
137.0,119.4,68.9,3.7,110.6,7.6,3.1,2,12,0,0.4,3,0,0,0.0,10.0,0.0,33.8
159.6,114.8,83.4,9.7,121.7,-2.4,5.0,15,2,0,0.34,0,30,0,0.0,10.0,0.0,40.5
206.9,76.4,162.4,81.2,48.9,3.9,4.7,6,4,1,0.48,0,0,0,0.0,10.0,4.5,4.6
179.4,81.1,132.7,4.9,84.7,14.0,3.1,1,11,3,0.52,1,0,0,0.0,10.0,19.2,23.0
154.4,93.6,99.0,44.8,79.5,-2.3,2.0,9,5,6,0.11,0,0,0,0.0,10.0,0.0,-3.0
178.9,114.6,93.7,45.1,107.9,6.0,2.0,5,3,3,0.43,0,75,0,0.0,10.0,6.6,22.3
91.1,119.1,45.9,1.7,123.3,4.7,15.8,15,13,3,0.59,1,0,0,0.0,10.0,27.2,22.3
99.6,79.2,75.5,11.2,66.0,-10.0,3.5,12,14,6,0.2,0,0,0,0.0,10.0,0.0,-4.6
70.2,96.0,43.9,12.6,78.5,-0.0,10.0,3,4,0,0.1,3,0,2,23.5,2.1,0.0,40.5
84.6,109.4,46.4,6.8,120.3,10.3,3.0,3,7,0,0.75,0,0,0,0.0,10.0,32.1,23.1
158.8,86.7,109.9,0.9,81.1,4.3,10.0,3,1,6,0.21,0,75,0,0.0,10.0,0.0,7.1
